date,temp_c,nao,sunspot,aod_global,month,month_sin,month_cos
1821-01,3.6,-2.62,36.0,0.0,1,0.49999999999999994,0.8660254037844387
1821-02,2.1,-2.62,7.0,0.0,2,0.8660254037844386,0.5000000000000001
1821-03,5.7,-2.62,9.517241379310345,0.0,3,1.0,6.123233995736766e-17
1821-04,9.5,-2.62,15.222222222222221,0.0,4,0.8660254037844387,-0.49999999999999983
1821-05,9.4,-2.62,2.806451612903226,0.0,5,0.49999999999999994,-0.8660254037844387
1821-06,12.3,-2.62,2.9655172413793105,0.0,6,1.2246467991473532e-16,-1.0
1821-07,14.8,-2.62,4.25,0.0,7,-0.4999999999999998,-0.8660254037844388
1821-08,16.4,-0.14,8.038461538461538,0.0,8,-0.8660254037844384,-0.5000000000000004
1821-09,14.9,-0.14,7.275862068965517,0.0,9,-1.0,-1.8369701987210297e-16
1821-10,10.4,-0.14,31.392857142857142,0.0,10,-0.8660254037844386,0.5000000000000001
1821-11,8.6,-0.14,7.333333333333333,0.0,11,-0.5000000000000004,0.8660254037844384
1821-12,6.4,-0.14,0.41935483870967744,0.0,12,-2.4492935982947064e-16,1.0
1822-01,4.7,-0.14,0.0,0.0,1,0.49999999999999994,0.8660254037844387
1822-02,6.3,-0.14,1.5,0.0,2,0.8660254037844386,0.5000000000000001
1822-03,7.8,2.99,26.857142857142858,0.0,3,1.0,6.123233995736766e-17
1822-04,8.3,-3.19,21.653846153846153,0.0,4,0.8660254037844387,-0.49999999999999983
1822-05,12.7,0.59,2.433333333333333,0.0,5,0.49999999999999994,-0.8660254037844387
1822-06,17.1,-0.86,9.310344827586206,0.0,6,1.2246467991473532e-16,-1.0
1822-07,15.6,-4.05,13.241379310344827,0.0,7,-0.4999999999999998,-0.8660254037844388
1822-08,15.2,-0.19,3.4193548387096775,0.0,8,-0.8660254037844384,-0.5000000000000004
1822-09,12.4,-1.09,0.0,0.0,9,-1.0,-1.8369701987210297e-16
1822-10,10.7,-2.0,0.5806451612903226,0.0,10,-0.8660254037844386,0.5000000000000001
1822-11,8.2,-0.05,0.0,0.0,11,-0.5000000000000004,0.8660254037844384
